leaf_area,perimeter,aspect_ratio,extent,equivalent_diameter,mean_R,mean_G,mean_B,mean_H,mean_S,mean_V,std_G,contrast,energy,homogeneity,correlation,entropy,weight_gram
58235.5,1485.4528787136078,2.5267857142857144,0.4593284641595154,272.30082906121413,103.40917421851135,111.56360519974204,50.945168516444355,32.875470929640564,141.46590639106677,112.18003937141499,20.656002008163696,0.23997103537917938,0.5819256841090295,0.9300158033248147,0.9425142318040988,4.378113815747998,38.0
42889.5,1260.256920337677,3.0609756097560976,0.5209588475366825,233.68484643621795,101.72920260355573,106.42963269624417,59.21182639895122,31.832884840957703,119.7705559005497,107.39039536327883,21.345164678105633,0.2699819193750652,0.5344920542305687,0.9258452786294356,0.9335063644753193,4.3669602389402815,27.0
47673.5,1200.2325353622437,2.1030927835051547,0.6023031635334546,246.37326445036965,100.32225101046741,107.66286661830242,55.41975334231527,32.9210902684216,130.50434241890352,108.40679863198258,21.583367581354498,0.3635669722944513,0.4853186244685981,0.9024088201869602,0.9114835356429658,4.365265170984994,31.0
68793.0,1553.8132700920105,3.0945273631840795,0.550247156500456,295.9560237619198,100.36941044486315,110.03558329857465,49.60691529909244,34.068850949990654,143.25518144030377,110.3498353157766,17.475102423878983,0.2693623414710573,0.5320231009571001,0.9221333381022286,0.9330977722619234,4.201966202194143,38.0
47306.5,1266.5168062448502,2.350785340314136,0.5516214041674926,245.4231173361914,91.97637088525686,104.06452084246561,49.65844239881437,35.60573611372033,139.71949819441835,104.52315945477696,19.486003560894908,0.28895715309193526,0.5315943351345161,0.9241819130129563,0.920327033734094,4.281538053656559,29.0
52958.0,1295.730009317398,2.56020942408377,0.5670082120793585,259.66944335074305,104.7506813515027,111.07061788314356,57.08788501026694,32.670244539854394,127.93961172297928,111.66160164271047,18.99530602960272,0.33910366798106606,0.5094635100402017,0.901590978957648,0.9209646328998361,4.285759823022463,32.0
62820.0,1412.2985507249832,2.6116504854368934,0.566824268235464,282.81603243144286,107.59714564758514,114.32791972527646,59.892930279449295,32.84334141961501,124.80030559843735,114.85679405185722,19.524335023075707,0.2688654213623327,0.5267516939989555,0.9200343893514032,0.9407036624123295,4.336161580164364,36.0
58854.0,1363.3868629932404,2.57,0.5725097276264591,273.7430184787244,103.4586967848199,112.671960873292,54.719121329770246,33.76755911864065,135.68592749457974,113.16704482428275,20.109595405276156,0.30455226399745483,0.5122258009065699,0.9137764132873996,0.9303018670359597,4.323945988173523,33.0
79059.0,1695.553383588791,2.595744680851064,0.5515102895012208,317.27124856692774,103.81650721298337,116.08787066720096,54.00475856541775,34.494239631336406,142.96746643959128,116.64871769184532,21.726856225664918,0.2972973398837574,0.5160611724464919,0.9203824467963218,0.9358069725475615,4.4063873546453065,37.0
51194.5,1351.7716397047043,2.600985221674877,0.47763192267502613,255.30934544772208,100.03663830526133,104.5702185950493,53.31618143582026,32.028226351025445,129.59900445679227,105.2381972178812,19.503316433907212,0.24385268221756318,0.5670432133803696,0.9294982040013373,0.9347856065368596,4.358882914885977,32.0
58892.5,1395.0853480100632,2.870967741935484,0.5929332286255085,273.8325398639022,99.31590790777344,108.66291625384137,48.90978857747401,33.66980134007288,143.19664477992913,109.14890258442627,18.88015994645554,0.27702208402356027,0.5019756937139084,0.917464399638564,0.9276937107595211,4.278505132215714,36.0
57828.0,1318.8427067995071,2.4754901960784315,0.5613278974956319,271.3464508574693,99.39880575564186,109.81170975413623,51.50420038667511,34.32947798860506,140.19651992403374,110.27327322189333,20.668693943594974,0.30087200313910323,0.5094817582165133,0.9120897642001438,0.9262498318769309,4.385760635212102,38.0
46648.5,1316.8843368291855,2.9767441860465116,0.5297113462936046,243.71030938919725,94.5769841101919,105.7515604172397,51.55764551551954,34.962317246048705,136.17931574381652,106.26253094386729,21.26465254511549,0.2691653895768343,0.5383541106156516,0.9306708490258649,0.9297589684089265,4.370788048318497,35.0
